Train/Value,Time/Buffer,Train/Action_abs_mean,Train/control_penalty,Time/Actor_Time,Train/PolicyClip,Train/Grad_norm_actor,Train/policy_loss,Train/Action_magnitude_L1,Train/Entropy_Loss,Train/Ratio,Train/Policy_loss,Train/V,Train/Action_max,Train/Loss,Time/B_Original_Format_Time,Train/Return,Train/LogProb,Train/Action_std,Time/Critic_Time,Train/Action_magnitude,Time/B_Format_Time,Itr,train/batch_reward,Train/Entropy_loss,Train/recon_loss,Train/Entropy
0.895968,0.00033211708068847656,0.58139694,1.27229,0.009741067886352539,0.03732416,0.0,-0.39295387,1.6865124,-0.0009315731525421142,1.0466846,-0.39295387,0.895968,0.65004754,-0.38116252,0.003656148910522461,1.2462217,-1.9741962,0.67549974,0.0,1.3521079,0.003968000411987305,9,0.04,-0.0009315731525421142,0.0,0.93157315
1.1316156,0.00030612945556640625,0.5211933,1.2207628,0.009357213973999023,0.02962854,0.0,-0.25419775,1.5770596,-0.0008579603433609009,1.0491043,-0.25419775,1.1316156,0.5627138,-0.24284807,0.003622770309448242,1.3494971,-1.7472873,0.6364375,0.0,1.2857804,0.003535032272338867,10,0.03,-0.0008579603433609009,0.0,0.85796034
1.241971,0.0003299713134765625,0.59851795,1.3952725,0.008989095687866211,0.008573385,0.0,0.072302654,1.6001881,-0.0008899906873703003,0.9788501,0.072302654,1.241971,0.5188081,0.085365385,0.003632068634033203,1.1490889,-1.9056374,0.66584045,9.5367431640625e-07,1.284397,0.003426074981689453,11,0.015,-0.0008899906873703003,0.0,0.8899907
1.1808175,0.0002951622009277344,0.66653615,1.354987,0.010598897933959961,0.019911917,0.0,-0.8109919,1.7569015,-0.0009370561242103577,1.0678279,-0.8109919,1.1808175,0.74461764,-0.79837906,0.003251791000366211,1.9462905,-1.9825473,0.67946273,0.0,1.4060585,0.0037431716918945312,12,0.07,-0.0009370561242103577,0.0,0.9370561
1.2167469,0.0003361701965332031,0.64119613,1.4127448,0.011444807052612305,0.02081029,0.0,0.11418829,1.6141248,-0.000917182445526123,0.8208379,0.11418829,1.2167469,0.2859989,0.12739855,0.003790140151977539,1.0814869,-1.9903585,0.7239073,0.0,1.2722839,0.0034868717193603516,13,0.015,-0.000917182445526123,0.0,0.91718245
1.1885896,0.0002460479736328125,0.79348874,2.463411,0.009948968887329102,0.050574444,0.0,0.16914074,1.95281,-0.0014490393400192262,0.6246078,0.16914074,1.1885896,0.349788,0.19232582,0.0034859180450439453,0.9934873,-2.803202,1.4562694,0.0,1.5509495,0.006815910339355469,14,0.0,-0.0014490393400192262,0.0,1.4490393
1.1697199,0.0003719329833984375,0.6843202,1.9048364,0.009834051132202148,0.026225517,0.0,-0.27864718,2.4144068,-0.0012140262126922607,1.0524614,-0.27864718,1.1697199,0.9742535,-0.26081285,0.003910064697265625,1.4185523,-2.625749,1.0753521,0.0,1.9514968,0.004142045974731445,15,0.045,-0.0012140262126922607,0.0,1.2140262
1.2390015,0.0006778240203857422,0.5841663,1.7537106,0.009674072265625,0.018187447,0.0,-0.15747592,2.2154353,-0.0012318034172058105,1.0022625,-0.15747592,1.2390015,0.7528755,-0.14117062,0.003473997116088867,1.3772868,-2.6281414,1.0628865,9.5367431640625e-07,1.8128589,0.0035681724548339844,16,0.035,-0.0012318034172058105,0.0,1.2318034
1.4216417,0.00047397613525390625,0.583874,1.7079674,0.009233236312866211,0.020179534,0.0,-0.05957077,2.2012863,-0.0011998385190963746,0.97384566,-0.05957077,1.4216417,0.7760233,-0.043690935,0.0034160614013671875,1.458469,-2.3586457,1.0539818,0.0,1.8088658,0.0035512447357177734,17,0.03,-0.0011998385190963746,0.0,1.1998385
1.528461,0.00037407875061035156,0.6619772,1.747019,0.009310007095336914,0.025182368,0.0,-0.26959407,2.2359962,-0.0011270796060562135,0.9585379,-0.26959407,1.528461,0.8432312,-0.253251,0.003986835479736328,1.769751,-2.4369662,0.9984822,0.0,1.7769829,0.0037262439727783203,18,0.055,-0.0011270796060562135,0.0,1.1270796
1.3253905,0.0003571510314941406,0.5699881,1.4496242,0.012676239013671875,0.017078849,0.0,-0.19405165,1.8040918,-0.0009676823616027832,1.0041846,-0.19405165,1.3253905,0.5906882,-0.1805231,0.0034542083740234375,1.4981091,-2.1050768,0.7725158,9.5367431640625e-07,1.437874,0.003522157669067383,19,0.045,-0.0009676823616027832,0.0,0.96768236
1.4241357,0.0005350112915039062,0.6288617,1.5755355,0.01025390625,0.029373018,0.0,-0.31942365,2.1531613,-0.0010849108695983887,1.0690148,-0.31942365,1.4241357,0.80824006,-0.3047532,0.0036160945892333984,1.7057273,-2.3131838,0.8986523,0.0,1.72484,0.0034270286560058594,20,0.065,-0.0010849108695983887,0.0,1.0849109
1.632684,0.0004258155822753906,0.64248186,1.5756357,0.009608030319213867,0.01391086,0.0,-0.19031216,1.9592917,-0.0008334581255912781,1.0138093,-0.19031216,1.632684,0.4810025,-0.17538926,0.003381967544555664,1.8194101,-1.8113388,0.74868417,0.0,1.5356233,0.0035049915313720703,21,0.055,-0.0008334581255912781,0.0,0.8334581
1.8124948,0.00036787986755371094,0.78051233,1.5709299,0.009833097457885742,0.047630444,0.0,-0.51165307,2.2166479,-0.0008644926548004151,1.0790169,-0.51165307,1.8124948,0.44447598,-0.49680826,0.004305124282836914,2.2826252,-1.7977905,0.76258254,0.0,1.7218735,0.0032126903533935547,22,0.075,-0.0008644926548004151,0.0,0.86449265
1.7783295,0.0003669261932373047,0.7536434,1.7801479,0.010818004608154297,0.064400345,0.0,-0.2657157,2.130519,-0.0009886348247528077,1.1297988,-0.2657157,1.7783295,0.65765494,-0.24890284,0.003659963607788086,2.0104198,-2.1259973,0.8900074,0.0,1.6951747,0.003278970718383789,23,0.055,-0.0009886348247528077,0.0,0.9886348
2.4280868,0.0003070831298828125,0.73889863,1.7481666,0.009258031845092773,0.04998882,0.0,-0.03521901,1.9723744,-0.0007891120910644532,0.9745439,-0.03521901,2.4280868,0.4574069,-0.018526457,0.0038809776306152344,2.4230032,-1.7662555,0.80269986,0.0,1.6038519,0.003641843795776367,24,0.035,-0.0007891120910644532,0.0,0.7891121
1.9497757,0.0007278919219970703,0.6806587,1.691147,0.01044011116027832,0.07789672,0.0,-0.2679591,1.9882234,-0.000805228590965271,1.0445896,-0.2679591,1.9497757,0.54263765,-0.25185284,0.0037109851837158203,2.1760676,-1.9433856,0.7759467,0.0,1.5785775,0.0044977664947509766,25,0.07,-0.000805228590965271,0.0,0.8052286
1.6576346,0.00029206275939941406,0.6283759,1.3613492,0.00910806655883789,0.023383342,0.0,-0.22988185,1.9183052,-0.0009115135073661804,0.99728096,-0.22988185,1.6576346,0.63255066,-0.21717988,0.0032520294189453125,1.858836,-2.0470138,0.78142357,0.0,1.5053089,0.003718852996826172,26,0.04,-0.0009115135073661804,0.0,0.9115135
1.9126111,0.0003020763397216797,0.6426102,1.4168544,0.009241104125976562,0.018623695,0.0,-0.18654203,2.0246077,-0.0008941264152526856,0.9823372,-0.18654203,1.9126111,0.68991935,-0.17326762,0.003551006317138672,2.0730355,-1.9721658,0.7972008,0.0,1.6096345,0.0032377243041992188,27,0.04,-0.0008941264152526856,0.0,0.8941264
1.5890652,0.0004520416259765625,0.66884184,1.4448372,0.00947880744934082,0.022666665,0.0,-0.071168154,2.0196612,-0.0009608473777770997,0.9428517,-0.071168154,1.5890652,0.6321881,-0.057680633,0.003763914108276367,1.6386868,-2.1065905,0.8843725,0.0,1.608713,0.0034990310668945312,28,0.035,-0.0009608473777770997,0.0,0.9608474
