Train/Value,Time/Buffer,Train/Entropy_Loss,Train/Return,Train/Action_max,Train/LogProb,Train/Grad_norm_actor,Train/Action_magnitude_L1,Train/control_penalty,Train/Ratio,Train/Action_magnitude,Train/Policy_loss,Time/B_Format_Time,Time/B_Original_Format_Time,Train/Entropy_loss,Train/Entropy,Train/V,Train/Action_std,Time/Critic_Time,Time/Actor_Time,Itr,Train/policy_loss,Train/recon_loss,Train/Action_abs_mean,Train/Loss,Train/PolicyClip,train/batch_reward
1.9064944,0.006126880645751953,0.0005842320322990418,1.77431,0.208586,1.1440562,0.0,0.53282744,0.41242114,1.0000038,0.41609198,0.13218738,0.08485984802246094,0.06926894187927246,0.0005842320322990418,-0.58423203,1.9064944,0.14017135,1.1920928955078125e-06,0.10502099990844727,26,0.13218738,0.0,0.23910037,0.13689582,0.0,0.03075
1.5351982,0.003943920135498047,0.0005851940512657165,1.4005892,0.22217488,1.1402665,0.0,0.54339767,0.4200338,0.9999966,0.42082176,0.13459818,0.07487893104553223,0.07857108116149902,0.0005851940512657165,-0.58519405,1.5351982,0.13991693,0.0,0.06523919105529785,27,0.13459818,0.0,0.24516118,0.13938372,0.0,0.025
1.6672586,0.0047800540924072266,0.0005764620304107666,1.5490692,0.20926827,1.1791998,0.0,0.53658885,0.41629815,1.0000019,0.41802394,0.11818344,0.13900995254516602,0.14278078079223633,0.0005764620304107666,-0.57646203,1.6672586,0.14184304,0.0,0.07111597061157227,28,0.11818344,0.0,0.23740803,0.12292288,0.0,0.0235
1.6102214,0.005148887634277344,0.0005488875508308411,1.4270838,0.23538335,1.1311082,0.0,0.5436772,0.42541218,1.0000494,0.42378518,0.18314481,0.11368513107299805,0.1417238712310791,0.0005488875508308411,-0.54888755,1.6102214,0.14567679,0.0,0.17925095558166504,29,0.18314481,0.0,0.24223994,0.18794781,0.0,0.01725
1.829762,0.0033648014068603516,0.0006222471594810486,1.7246438,0.23110306,1.2453254,0.0,0.54738057,0.4235701,1.0000077,0.42510813,0.10512599,0.08410787582397461,0.06904172897338867,0.0006222471594810486,-0.62224716,1.829762,0.13493787,0.0,0.10245299339294434,30,0.10512599,0.0,0.24559818,0.10998394,0.0,0.0285
1.7377754,0.00640106201171875,0.0006216381788253784,1.5935273,0.22303638,1.2493184,0.0,0.5175826,0.39849883,0.9999952,0.40027466,0.14424708,0.08666801452636719,0.07957315444946289,0.0006216381788253784,-0.6216382,1.7377754,0.13476826,0.0,0.07541203498840332,31,0.14424708,0.0,0.23290339,0.1488537,0.0,0.0205
1.7259946,0.0051310062408447266,0.0006372256875038147,1.5746706,0.20749246,1.2967138,0.0,0.48376,0.37741765,0.9999906,0.37655458,0.15131417,0.0991978645324707,0.07610797882080078,0.0006372256875038147,-0.6372257,1.7259946,0.13272838,1.1920928955078125e-06,0.06804108619689941,32,0.15131417,0.0,0.21378343,0.15572557,0.0,0.0215
1.6121022,0.004992008209228516,0.000617333173751831,1.4105698,0.19241029,1.2433237,0.0,0.50789183,0.3943019,0.99998796,0.39405,0.20153055,0.0724029541015625,0.0990300178527832,0.000617333173751831,-0.6173332,1.6121022,0.13463606,0.0,0.0975348949432373,33,0.20153055,0.0,0.22632018,0.2060909,0.0,0.0145
1.6250085,0.0033309459686279297,0.0006518978476524354,1.4148928,0.18270399,1.2996677,0.0,0.47773722,0.36681646,1.0000101,0.3684263,0.21012409,0.08781003952026367,0.09264826774597168,0.0006518978476524354,-0.65189785,1.6250085,0.1303641,0.0,0.07288908958435059,34,0.21012409,0.0,0.21225552,0.21444415,0.0,0.015
1.9524075,0.0064890384674072266,0.000669517993927002,1.7312745,0.18898499,1.3532822,0.0,0.48203814,0.3714043,0.9999983,0.3700506,0.22112958,0.08633995056152344,0.07729196548461914,0.000669517993927002,-0.669518,1.9524075,0.1281534,9.5367431640625e-07,0.11584782600402832,35,0.22112958,0.0,0.21714993,0.22551315,0.0,0.01925
1.9777453,0.002747058868408203,0.0006854316592216492,1.728552,0.18363798,1.3611445,0.0,0.45916352,0.35174897,0.99999076,0.3528245,0.24918826,0.07412409782409668,0.07924199104309082,0.0006854316592216492,-0.68543166,1.9777453,0.12622018,0.0,0.07031607627868652,36,0.24918826,0.0,0.20438407,0.25339118,0.0,0.01725
2.009741,0.003319978713989258,0.0006302802562713623,1.8437464,0.19439676,1.2811298,0.0,0.5032129,0.39039874,0.9999893,0.3902316,0.16599973,0.07009720802307129,0.08412718772888184,0.0006302802562713623,-0.63028026,2.009741,0.13327856,1.1920928955078125e-06,0.08266091346740723,37,0.16599973,0.0,0.22763395,0.17053398,0.0,0.02775
1.7745787,0.010346174240112305,0.0006319472193717957,1.589807,0.19570866,1.2642334,0.0,0.49893183,0.38606587,0.99998826,0.38586786,0.18477449,0.07260012626647949,0.08192992210388184,0.0006319472193717957,-0.6319472,1.7745787,0.13330472,0.0,0.0790400505065918,38,0.18477449,0.0,0.22356762,0.18926708,0.0,0.01725
2.0634542,0.0033071041107177734,0.0005917845368385315,1.9240957,0.2185759,1.2203774,0.0,0.53936225,0.41936126,1.0000067,0.4183212,0.13934778,0.10296106338500977,0.08538818359375,0.0005917845368385315,-0.59178454,2.0634542,0.13877888,0.0,0.07447028160095215,39,0.13934778,0.0,0.2437374,0.14413318,0.0,0.0265
2.037902,0.003437042236328125,0.000631395697593689,1.8861654,0.18325773,1.2571602,0.0,0.50626636,0.39203465,0.9999843,0.39218298,0.15173183,0.07669711112976074,0.07907891273498535,0.000631395697593689,-0.6313957,2.037902,0.1335211,0.0,0.06990408897399902,40,0.15173183,0.0,0.2286592,0.15628357,0.0,0.03325
1.7923917,0.0035109519958496094,0.0005876603722572327,1.6669604,0.20813662,1.167274,0.0,0.52130675,0.3998873,1.0000042,0.40412056,0.12544127,0.07288217544555664,0.06876897811889648,0.0005876603722572327,-0.5876604,1.7923917,0.1395694,9.5367431640625e-07,0.06453990936279297,41,0.12544127,0.0,0.23298025,0.1300278,0.0,0.0275
1.8764157,0.0036611557006835938,0.0006124681234359741,1.7361108,0.20859532,1.2377932,0.0,0.5122059,0.39837447,0.9999843,0.39568675,0.14030996,0.07780766487121582,0.0803680419921875,0.0006124681234359741,-0.6124681,1.8764157,0.13661562,9.5367431640625e-07,0.07167816162109375,42,0.14030996,0.0,0.22877231,0.14490618,0.0,0.029
1.7627292,0.007122039794921875,0.0006160855293273926,1.6305971,0.20373121,1.2227346,0.0,0.49009094,0.38138422,1.0000061,0.3779997,0.1321245,0.07746696472167969,0.07985806465148926,0.0006160855293273926,-0.6160855,1.7627292,0.13555552,0.0,0.07341623306274414,43,0.1321245,0.0,0.21791531,0.13655443,0.0,0.02675
2.0605125,0.004151105880737305,0.0005890189409255981,1.9668509,0.22217116,1.1703293,0.0,0.51460314,0.40189344,1.0000054,0.40247682,0.093661495,0.07358312606811523,0.07743096351623535,0.0005890189409255981,-0.58901894,2.0605125,0.13981287,0.0,0.06842494010925293,44,0.093661495,0.0,0.22697845,0.09826945,0.0,0.0445
1.4761299,0.0029621124267578125,0.0006803343296051025,1.3791964,0.16862348,1.3693379,0.0,0.4397046,0.34531873,1.0000039,0.34221318,0.09693546,0.07192111015319824,0.09342193603515625,0.0006803343296051025,-0.6803343,1.4761299,0.12765862,0.0,0.07973384857177734,45,0.09693546,0.0,0.19045953,0.10106898,0.0,0.0275
1.7698203,0.00452113151550293,0.0006622197031974792,1.6226712,0.20186403,1.337626,0.0,0.4515581,0.3583516,0.9999858,0.35098132,0.14715002,0.08116483688354492,0.09190130233764648,0.0006622197031974792,-0.6622197,1.7698203,0.13022989,1.1920928955078125e-06,0.10219216346740723,46,0.14715002,0.0,0.19867487,0.15139577,0.0,0.027
